ID,Start time,Completion time,Email,Name,Last modified time,"Provide adequate teaching resources for classes with large enrollments, challenging time schedules or difficult schedules",Upgrade technology and training so that hybrid teaching is possible and of high quality,Provide faculty with mentoring opportunities in competency-based training on undergraduate and graduate-level teaching,Create three-year teaching schedules,Replace student evaluations of teaching with more evidence based methods for ensuring quality teaching,Allow course release for national level service participation (e.g. Chair of a professional society),Provide incentives and training for mentoring PhD students,Create transparent and realistic faculty workload models that distribute workloads equitably across faculty in the department,Any other action not mentioned (type in your answer):,Actions in Teaching,What is your top priority item?,What is your second priority item?,What is your third priority item?,Column8,Column2,Change faculty dispute resolution practices to be more humane and problem solving,"Require leadership training and develop competencies of Chancellors, Deans, Chairs, and administrators related to problem solving, conflict resolution, and academic freedom",Establish salary structures that insure that salaries of faculty are higher than staff and postdoctoral fellows,Decrease the pay gap between tenure track and teaching track faculty,Ensure transparent merit procedures and allocation of available funds,Ensure salary raises for those who have had outstanding performance each year,Deal with salary compression of senior faculty who have served the UW for a long time,Request the UW administration of Seattle-Bothell-Tacoma to come up with a shared vision for the future of the University of Washington's three campuses,"Create an officer or office for faculty wellbeing in Academic Personnel, so there is a person or group responsible for these actions",Any other action not mentioned (type in your answer):2,Action Items Government,What is your top priority item?2,What is your second priority item?2,What is your third priority item?2,What is your third priority item?23,What is your third priority item?22,Create climate for acceptable academic discourse,Provide leadership skills for faculty at all ranks,Provide easy access to mental health services for faculty,Create safety programs for faculty working in all UW environments (labs and classrooms),Co-locate faculty in departments who do similar work (teaching and research topics),"Upgrade office spaces and departments that are clean, colorful, and welcoming",Consider implementing family tuition reimbursement program so our children can get a free or reduced cost of UW education,Create an academic landscape one can understand - this could be done with an organizational chart for each school/department,Any other action not mentioned (type in your answer):3,Action Items Worklife,What is your top priority item?3,What is your second priority item?3,What is your third priority item?3,Column3,Column4,"Foster a supportive research environment around grant writing, publication, and statistical assistance that is free to faculty",Provide access to indirect cost recovery funds to the PI,Assist with creating more research platforms with industry,Co-create funding methods with research faculty,Create research/scientist research series for elevating research methods for all,Update lab equipment for research and teaching,"Create a database of available research staff, so that talent developed at UW can be kept and shared across departmental units and colleges",Any other action not mentioned (type in your answer):4,Actions in Research ,What is your top priority item?4,What is your second priority item?4,What is your third priority item?4,"Below, please write in any other action(s) you would like to see the UW take to address the issues mentioned above:",Column9,What is your main campus location?,Column5,What is your school or college?,Column10,Column6,What is your academic rank?,Column7,What is your sex/gender?,"If you are willing to participate in a qualitative interview related to this survey, please place your UW NetID in the box below. In doing so, your survey responses will no longer be anonymous."
663,4/24/24 12:29:49,4/24/24 12:36:42,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I answered survey before, but forgot to include this which I think is hugely important. 

Housing for faculty- the UHAP program is not enough, and no school seems to be able to afford it for retention.  There needs to be some transitional housing solution for new faculty (e.g., like Boston College, UVa) which offer affordable housing via own developments for living close to university campuses (walkable) and are affordable.  This could also reduce carbon footprint.",Housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,4/16/24 12:09:33,4/16/24 12:21:26,anonymous,,,1 - Highest ,4,4,3,3,1 - Highest ,1 - Highest ,1 - Highest ,"Provide instructors with support to better incorporate universal course design practices, DSR and other student accommodations",DRS,Realistic faculty workloads,Training for mentoring graduate students,"More support for instructors to design and respond to student needs, accomodations",,,3,3,2,1 - Highest,1 - Highest,3,3,5 - Lowest,5 - Lowest," Make all faculty salaries competitive with other peer institutions and up to par with current cost of living, institute annual cost of living increases",Pay,"Higher salaries and annual COL increases that reflect local cost of living. For ALL faculty, staff, postdocs/research scientists, and grad students.","Higher salaries and annual COL increases that reflect local cost of living. For ALL faculty, staff, postdocs/research scientists, and grad students.","Higher salaries and annual COL increases that reflect local cost of living. For ALL faculty, staff, postdocs/research scientists, and grad students.",,,2,3,2,4,4,4,2,2,,Increase DEI,Family tuition rates,Access to mental health,Climate for discourse,,,1 - Highest,2,2,2,4,3,1 - Highest,,,Free grant support resources,More research platforms,Co-create funding methods,,,Seattle,,UWS - College of Arts & Sciences,,,Assistant Professor,,Female,martinm7
706,4/24/24 12:55:56,4/24/24 13:12:09,anonymous,,,5 - Lowest,1 - Highest ,1 - Highest ,5 - Lowest,1 - Highest ,1 - Highest ,5 - Lowest,1 - Highest ,"This is not an inclusive survey as the items and proposals are biased toward the needs of teaching on ""upper campus"" and of little relevance to UW Medicine, particularly clinical departments. We have a ton of uncompensated teaching responsibilities. Please invest in expanding the scope of your efforts to address the different challenges and barriers that are faced by all faculty, not just in some schools or departments. ",,Realistic faculty workloads,Course release,Replace student evaluations,,,4,3,2,4,1 - Highest,2,1 - Highest,5 - Lowest,1 - Highest,"As above, the items don't appropriately address how faculty are paid in the School of Medicine, at least in clinical departments. For a survey focused on faculty wellbeing, I find this quite disturbing and alienating. ",Pay,Salary compression,Transparent merit process,Create officer for faculty wellbeing,,,1 - Highest,1 - Highest,2,3,3,1 - Highest,1 - Highest,1 - Highest,,Increase DEI,Family tuition rates,Upgrade office spaces,Leadership training,,,1 - Highest,1 - Highest,4,2,1 - Highest,5 - Lowest,4,Provide knowledgeable and responsive pre-award and post-award support services ,Pre-award services,Free grant support resources,Create research methods series,Access to indirect costs,,,Seattle,,UWS - School of Medicine,,,Professor,,Prefer not to share,
99,4/15/24 15:56:28,4/15/24 16:03:36,anonymous,,,1 - Highest ,1 - Highest ,1 - Highest ,4,3,1 - Highest ,1 - Highest ,1 - Highest ,,Longer Contracts,Realistic faculty workloads,Teaching resources,Upgrade technology,,,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,2,1 - Highest,,,Transparent merit process,Salary compression,Leadership training ,,,1 - Highest,1 - Highest,,1 - Highest,5 - Lowest,1 - Highest,,2,"Stop talking about commitment to diversity, equity, and inclusion and take tangible action to demonstrate the commitment to DEI.",Increase DEI,Safety programs,Climate for discourse,Upgrade office spaces,,,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,,,Free grant support resources,,,,,Tacoma,,,,,,,,
745,4/24/24 13:36:00,4/24/24 14:25:31,anonymous,,,2,5 - Lowest,1 - Highest ,,1 - Highest ,3,3,3,"Resources for classroom management, e.g., managing student behaviors ",Student Harassment,Other,Mentoring for teaching,Replace student evaluations,,,,,,1 - Highest,,,,1 - Highest,,,,Decrease pay gap,Shared vision of leadership,,,,1 - Highest,,,,,,,,"Remind us of our shared values (https://www.washington.edu/about/visionvalues/), possibly through bimonthly 'something' to focus on each one. E.g., Jan is integrity month - recognize an individual's their work to enhance integrity or teaching tips to promote integrity. Mar is diversity month - recognize an individual for their diversity, or their work to advance diversity or tips to promote diversity in the teaching/learning.",Increase DEI,,,,,,1 - Highest,1 - Highest,2,,,,2,,,Free grant support resources,Access to indirect costs,,,,Seattle,,UWS - School of Medicine,,,Associate Teaching Professor,,Female,
604,4/23/24 10:50:47,4/23/24 11:04:08,anonymous,,,1 - Highest ,2,2,4,1 - Highest ,4,3,1 - Highest ,"For instructors without TAs, graders, etc: course release or other incentive for updating course materials to be fully accessible and/or multimodal. Updating materials is becoming a full time job, and for people who can't ""outsource"" it to assistants, it's not sustainable without something else giving in our schedule

a workload audit that takes into account things like independent studies and mentoring, and service",Workload,Realistic faculty workloads,Teaching resources,Replace student evaluations,,,2,1 - Highest,4,1 - Highest,1 - Highest,2,1 - Highest,3,4,"better than a wellbeing officer in OAP would be a faculty council, it would be more directly answerable to faculty",Add WellBeing to a Council,Leadership training ,Salary compression,Decrease pay gap,,,2,1 - Highest,4,3,5 - Lowest,5 - Lowest,3,5 - Lowest,increase support for student mental health so that faculty aren't expected to deal with situtations they're not trained for,Increase Student Support,Leadership training,Climate for discourse,Safety programs,,,2,2,3,3,3,3,3,,,Free grant support resources,Access to indirect costs,More research platforms,,,Seattle,,UWS - College of Built Environments,,,Assistant Teaching Professor,,Female,
476,4/16/24 17:31:46,4/16/24 17:41:54,anonymous,,,4,5 - Lowest,5 - Lowest,4,5 - Lowest,2,1 - Highest ,1 - Highest ,Reduce tenure-track teaching loads by possibly increasing teaching-track loads and definitely increasing tenure-track teaching loads for such faculty who are *research inactive*.,,Realistic faculty workloads,Course release,Research inactive tenure-track teaching loads need to be increased.,,,5 - Lowest,2,1 - Highest,5 - Lowest,2,1 - Highest,1 - Highest,5 - Lowest,5 - Lowest,,,Salary raises,Salary compression,Salary structure,,,4,5 - Lowest,5 - Lowest,5 - Lowest,3,2,1 - Highest,5 - Lowest,"Adopt, as the University of Chicago has done, the Kalven Report on institutional neutrality except where it concerns issues affecting the university's mission of research, teaching, and service. At the same time, encourage individual faculty to take as public a stand on whatever issues are important to them as they wish.",Kalven Report,Family tuition rates,Upgrade office spaces,Climate for discourse,,,3,1 - Highest,4,5 - Lowest,5 - Lowest,5 - Lowest,4,Need more space for labs.,Lab Space,Lab space,Access to indirect costs,Free grant support resources,,,Seattle,,UWS - Information School,,,Professor,,Male,wobbrock
841,4/28/24 8:27:45,4/28/24 8:37:59,anonymous,,,1 - Highest ,3,2,3,1 - Highest ,3,2,1 - Highest ,"Mentorship of grads & undergrads in research being an earned privilege that can be removed if you are causing harm. Oversight that is beyond the department, as there are too many perverse incentives within departments to overlook bad acts when done by people who bring in lots of grant money. ",Incentives for Mentoring,Other,Replace student evaluations,Realistic faculty workloads,,,2,2,1 - Highest,2,3,3,1 - Highest,3,4,,Merit Transparency,Salary raises,Change dispute resolution,Decrease pay gap,,,2,2,1 - Highest,1 - Highest,4,5 - Lowest,5 - Lowest,4,I do not mean police or surveillance when I speak of safety--that is a really important distinction for me. I would like much much less police presence at UW.,Less Police,Access to mental health,Safety programs,Leadership training,,,2,2,3,4,3,2,4,"Pay staff that support grant writing and management at rates that are competitive, so that we don't keep losing talent. ",Grants,"Pay staff that support grant writing and management at rates that are competitive, so that we don't keep losing talent. ",Tuition reduction/elimination after grads pass QE--it is becoming impossible to support grad students on grants,"Admin support for large, collaborative grants",,,Seattle,,UWS - College of Arts & Sciences,,,Professor,,Something else,
568,4/19/24 16:27:55,4/19/24 16:34:47,anonymous,,,4,4,4,4,4,2,3,2,These don't really address medical faculty issues at all.,Clinical,Other,Other,administrative support,,,2,1 - Highest,2,5 - Lowest,,,2,,1 - Highest,these don't really seem relevant or address the issues resulting in non-clinical causes of burn out of medical faculty.,Clinical Pay,,,,,,3,2,2,4,4,5 - Lowest,2,4,address issues that are relevant to medical faculty.,Medical Faculty ,,,,,,2,2,2,2,4,4,4,,,,,,,,Seattle,,UWS - School of Medicine,,,Associate Professor,,Prefer not to share,
799,4/24/24 21:52:20,4/24/24 22:24:24,anonymous,,,1 - Highest ,1 - Highest ,2,,2,3,3,3,"This doesn't seem to be a very well constructed survey, as I don't understand how to rank such a wide swath of items that are all of course important. I left one blank because there's no explanation of what it means - this survey seems to assume everyone taking it is FT tenure track and engaged in departments where these are issues/conversations. We're also comparing apples and oranges here. 'Course release' and 'transparency' seem like administrative issues, not needs around developing our teaching practices and skills. I understand that student advising falls under 'teaching' in our tripartite system, but I don't know how to compare that with the immense needs we all have for better support on the ground to develop and implement our classes and innovative (sometimes hybrid/hyflex) teaching methods. To the questions below about priorities, my top priority is providing education and support to faculty (and grad students) for accessible teaching: faculty need to learn to meet the bare minimums of DRS accommodations (and also UW most desperately needs to shore up the now meager resources and capacities of DRS), we need to learn basic implementation of universal design in our courses, and we need  more intensive training in disability studies and disability pedagogy in order to see any significant shifts in the ableist culture of this campus.",Pedagogy Skills,Teaching resources,Upgrade technology,Mentoring for teaching,,,,,,1 - Highest,,2,1 - Highest,,5 - Lowest,"Yikes, these are some terrible problems I've never been exposed to working in a small academic program and having spent most of my UW career in PT teaching. Again, there's so much apples to oranges here that I can't fathom how to use the ranking system. Yes, salary compression - how about including those of us who worked for years/decades earning 5K or 6K per class and sometimes not receiving benefits?",Pay Gap,Salary compression,Decrease pay gap,Salary raises,,,5 - Lowest,2,1 - Highest,2,,5 - Lowest,3,5 - Lowest,"*Quality* mental health services please, and protections for faculty who access them in this ableist environment. Mental well-being of faculty (and students!) is perilously low now and UW has next to zero resources. The apples to oranges is esp jarring in this section. ""Co-locate faculty"" - explain please.  ""Acceptable academic discourse."" What political entities will be using these survey results?",Mental Health Services,Access to mental health,Safety programs,Leadership training,,,,,5 - Lowest,,,,,"I initially ignored this survey because the email I received was so infuriating - ""post covid""?! The survey itself is also infuriating and frustrating.",,,,,,,Seattle,,UWS - College of Arts & Sciences,,,Associate Teaching Professor,,Prefer not to share,jwoiak@uw.edu
83,4/15/24 15:45:55,4/15/24 16:01:04,anonymous,,,3,3,3,3,3,1 - Highest ,3,3,"Instead of ""Replace student evaluation"", I would add ""Adjust Interpretation of student evaluations."" For example, when student comments are inappropriate (i.e. race or gender bias or inappropriateness) then allow that the scores from this submission can be removed from evaluation.",Student Evaluations,Training for mentoring graduate students,Other,Teaching resources,,,3,3,1 - Highest,3,4,4,1 - Highest,5 - Lowest,4,Many of these items are better addressed at a local (college or department) level.,Reduce Admin Bloat,Leadership training ,Shared vision of leadership,,,,3,1 - Highest,1 - Highest,1 - Highest,4,4,4,4,"As a state school, to me it is not ethical that my children would have a lower tuition at UW than other in-state students. My children have access to (and have used) the Seattle Promis, and the WUE - which makes University of Hawaii tuition lower than in-state UW tuition. Instead, I would support access to mental health access for UW faculty (our jobs our stressful!)",Mental Health Services,Access to mental health,Leadership training,Safety programs,,,3,3,2,2,4,1 - Highest,1 - Highest,"Better support/training for large multi-discplinary grant submission. Too often, it seems that large grant participation is based on ""who you know"". Opening this training and experience to more faculty will benefit both the individual faculty and the University as a whole.",Grants,Free grant support resources,Update lab equipment,,"Lab equipment is generally only funded through start-up costs, and somethimes through MRI (magor research initiatives). There is limited (or almost no) support for maintaining the equipment. What a waste of funds! This is a sustainability issue.",,Seattle,,UWS - College of the Environment,,,Associate Professor,,Female,hgough
665,4/24/24 12:19:30,4/24/24 12:38:24,anonymous,,,1 - Highest ,5 - Lowest,4,4,2,3,2,1 - Highest ,,,Teaching resources,Realistic faculty workloads,Replace student evaluations,,,4,4,1 - Highest,3,1 - Highest,1 - Highest,2,4,3,,,Transparent merit process,Salary raises,Decrease pay gap,,,2,3,2,3,2,1 - Highest,1 - Highest,4,The mental health services that faculty need most would be those to help triage students with mental health crises so that the faculty can easily hand off students in crises to specialists.,Mental Health Services,Upgrade office spaces,Family tuition rates,Co-locate faculty,,,2,1 - Highest,,3,3,1 - Highest,2,renovating outdated and unsafe laboratory spaces with non-departmental funds would be huge. so much of the health sciences building (especially F-wing) has dilapidated space with massive engineering restrictions due to poor planning in the past making it nearly impossible for academic units to afford to restructure space,Safe Buildings,Access to indirect costs,update laboratory space to improve safety and productivity of sub-par lab space,Update lab equipment,work with facilities to cut costs of renovation projects. They charge way too much and project management is low quality.,,Seattle,,UWS - School of Pharmacy,,,Associate Professor,,Male,
149,4/15/24 16:16:49,4/15/24 16:21:39,anonymous,,,,2,3,,1 - Highest ,4,3,1 - Highest ,,,Realistic faculty workloads,Replace student evaluations,Upgrade technology,,,2,1 - Highest,2,2,1 - Highest,2,4,5 - Lowest,3,,,Transparent merit process,Leadership training ,Decrease pay gap,,,4,1 - Highest,1 - Highest,3,4,3,1 - Highest,3,,Mental Health Services,Family tuition rates,Leadership training,Access to mental health,,,1 - Highest,1 - Highest,3,2,3,3,2,,,Free grant support resources,Access to indirect costs,Co-create funding methods,,,Seattle,,UWS - School of Medicine,,,Associate Professor,,Female,
709,4/24/24 13:08:23,4/24/24 13:14:55,anonymous,,,3,3,1 - Highest ,3,2,4,2,1 - Highest ,,,Mentoring for teaching,Replace student evaluations,Training for mentoring graduate students,,,2,2,2,1 - Highest,2,1 - Highest,2,3,2,,,Salary structure,Leadership training ,Decrease pay gap,,,2,1 - Highest,1 - Highest,3,4,2,1 - Highest,4,"Mental health services are not accessible easily after 1-2 sessions.  Therapy is beneficial over the long term, not in 1-2 sessions.  ",Mental Health Services,Access to mental health,Family tuition rates,Leadership training,,,2,2,4,4,4,1 - Highest,1 - Highest,,,Update lab equipment,Database of research staff,Co-create funding methods,"Tuition help for faculty or family members (i.e. children) is not present at UW the way that it is in other institutions.  UW should foster academic growth and scholarship, by making tuition free for faculty, even those pursuing degree programs.  UW faculty used to receive tuition assistance for children/dependents to attend UW.  Other institutions still do this.  UW is not mirroring other institutions in these regards.  ",,Seattle,,UWS - School of Dentistry,,,Assistant Teaching Professor,,Female,
467,4/16/24 15:20:27,4/16/24 15:27:15,anonymous,,,1 - Highest ,3,2,2,3,3,4,1 - Highest ,"Fair compensation for faculty at all ranks, ranging from part-time to full professor. ",Pay,Teaching resources,Three-year teaching schedule,Mentoring for teaching,,,3,3,1 - Highest,1 - Highest,2,3,1 - Highest,3,2,Improved inclusivity in all aspects and all levels,Increase DEI,Decrease pay gap,Salary compression,Create officer for faculty wellbeing,,,3,3,2,3,3,3,1 - Highest,3,,More Buildings,Family tuition rates,Access to mental health,Climate for discourse,,,3,3,3,3,3,3,3,,,Update lab equipment,Database of research staff,Free grant support resources,,,Seattle,,UWS - College of the Environment,,,Lecturer,,Female,
439,4/16/24 12:50:54,4/16/24 13:01:38,anonymous,,,,,,,,,,,"For clinical faculty, provide protected time/FTE to dedicate to teaching and supervision of trainees. ",FTE,Realistic faculty workloads,,,,,,,1 - Highest,,,,3,,,"Decrease the pay gap between psychology faculty and Seattle Children's employed psychologists who are paid significantly more than faculty for the same years of experience. Adjust salary structure so faculty salaries are competitive, which will also help with faculty recruitment and retention.  ",Pay,Salary structure,,,,,2,2,3,3,1 - Highest,2,3,2,,More Buildings,,,,,,2,2,3,3,3,3,2,"Provide additional FTE for clinical faculty to engage in research and academic endeavors. 0.1 FTE is insufficient to dedicate to research, teaching and academic work for primarily clinical faculty who also want/need to demonstrate scholarly productivity. ",Clinical,,,,,,Seattle,,UWS - School of Medicine,,,Assistant Professor,,Female,
449,4/16/24 13:19:21,4/16/24 13:30:08,anonymous,,,3,1 - Highest ,5 - Lowest,5 - Lowest,1 - Highest ,3,1 - Highest ,5 - Lowest,,,Upgrade technology,Training for mentoring graduate students,Replace student evaluations,,,2,1 - Highest,5 - Lowest,1 - Highest,1 - Highest,3,3,5 - Lowest,5 - Lowest,"Provide and fund cost of living salary adjustment for all faculty, staff and student workers.",Pay,Provide and fund cost of living salary adjustment,Transparent merit process,Decrease pay gap,,,5 - Lowest,5 - Lowest,1 - Highest,5 - Lowest,5 - Lowest,1 - Highest,1 - Highest,5 - Lowest,"Provide adequate space for all staff and faculty, including private spaces for those who want them.",More Buildings,Adequate space,Upgrade office spaces,Family tuition rates,,,5 - Lowest,1 - Highest,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,,,Access to indirect costs,,,,,Seattle,,UWS - College of Built Environments,,,Associate Professor,,Male,
554,4/19/24 10:12:34,4/19/24 10:25:26,anonymous,,,2,2,3,3,3,1 - Highest ,1 - Highest ,1 - Highest ,"I think that, perhaps unexpectedly, remote work (alongside the unrelenting heavy workload burden that many faculty experience) is contributing to burnout. Spending time alone, connecting primarily with students and colleagues largely through Zoom, is exhausting and does not provide the ""joys"" that formal and informal regular in-person connections afford. 

We've learned a great deal about what we can accomplish remotely, and the equity considerations are very important, but we've also lost a lot, in my view, not being in person.

I do think that workload expectations for faculty who lead large or moderately large centers, as I do, need to be considered. I lead a center with a permanent staff of ~35 plus ~20-40 fixed duration staff, depending on projects we are running. My workload demands are no different from those who run much smaller centers. The substantive leadership, administrative, and public-facing (state and national presence) are exhausting and lead to significant uncompensated work.",In-Person Classes,,,,,,3,2,2,1 - Highest,2,1 - Highest,1 - Highest,2,3,Please include Research Faculty as a focus for reducing the salary gap relative to tenured faculty.,Pay Gap,,,,,,1 - Highest,2,2,2,4,3,2,2,,More Buildings,,,,,,2,1 - Highest,3,2,3,3,2,,,,,,,,Seattle,,,,,Associate Professor,,Female,
203,4/15/24 16:25:10,4/15/24 16:52:52,anonymous,,,1 - Highest ,1 - Highest ,3,4,3,5 - Lowest,4,1 - Highest ,"It would be good if there were some way to instill in students the importance of in-person class attendance. The move toward ""passive learning"" has degraded performance.",In-Person Classes,Teaching resources,Upgrade technology,Realistic faculty workloads,,,3,3,3,1 - Highest,2,2,2,3,3,,,Decrease pay gap,Salary structure,Transparent merit process,,,1 - Highest,4,3,4,4,3,3,3,"Provide adequate CLASSROOMS for teaching
Provide adequate TA support for teaching labs
Provide adequate equipment support for teaching labs",More Buildings,Provide adequate classrooms,Provide adequate TA support for teaching labs,Provide adequate equipment support for teaching labs,,,1 - Highest,1 - Highest,1 - Highest,2,2,1 - Highest,2,"Solve the problems created by the ""Financial Transformation,"" purchasing, etc.
Provide a more helpful, as opposed to hostile EH&S Department",Financial Transformation,"Solve the problems created by the ""Financial Transformation,"" purchasing, etc.","Provide a more helpful, as opposed to hostile EH&S Department",Free grant support resources,"Prie importance right now: Solve the problems caused by the ""Financial Transformation.""",,Seattle,,UWS - College of Engineering,,,Professor,,Male,
727,4/24/24 13:19:35,4/24/24 13:35:33,anonymous,,,2,2,1 - Highest ,3,2,,,1 - Highest ,"Lower the number of ""service"" or ""peripheral"" activities that faculty have to do (there are too many required committees, administrative tasks, etc).

Create opportunities for faculty to SOCIALIZE.",Service,Mentoring for teaching,Realistic faculty workloads,Create spaces for faculty to SOCIALIZE,,,4,3,3,2,1 - Highest,3,2,1 - Highest,2,,,Transparent merit process,Shared vision of leadership,Create officer for faculty wellbeing,,,2,3,1 - Highest,3,4,5 - Lowest,4,2,"Find a way (I know its not easy), where policy decisions are not always felt as ""because the Admin says so"" - puts a horrible rift between faculty & staff that ""enforces"" the policies.",Faculty Autonomy,"Reduce rift between faculty & staff due to policy ""enforcement""",Access to mental health,Climate for discourse,,,1 - Highest,3,1 - Highest,,,1 - Highest,,,,Free grant support resources,Update lab equipment,More research platforms,"Bring back a ""Faculty Lunch Room"" or equivalent to all the campuses.",,Seattle,,UWS - College of Engineering,,,Assistant Teaching Professor,,Male,alvarso@uw.edu
376,4/16/24 8:28:40,4/16/24 8:43:59,anonymous,,,1 - Highest ,2,2,5 - Lowest,5 - Lowest,3,4,3,"Share survey results and host hybrid listening session(s) or other accessible forum on teaching at a divisional level. Ensure that any strategies also enhance faculty governance, the lack of which is also a cause of demoralization.",,Teaching resources,Realistic faculty workloads,Mentoring for teaching,,,3,2,5 - Lowest,1 - Highest,3,2,2,3,5 - Lowest,"Share survey results and host hybrid listening session(s) or other accessible forum on shared governance at a divisional level. Ensure that any strategies also enhance faculty governance, the lack of which is also a cause of demoralization.",Regular Feedback Opportunities ,Decrease pay gap,Create office of faculty wellbeing but draw from faculty and give them course relief to do it,Salary compression,,,5 - Lowest,1 - Highest,1 - Highest,3,1 - Highest,3,1 - Highest,2,"Share survey results and host hybrid listening session(s) or other accessible forum on work life at a divisional level. Ensure that any strategies also enhance faculty governance, the lack of which is also a cause of demoralization.",More Opportunities for Feedback,Access to mental health,Co-locate faculty,Family tuition rates,,,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,"Get input from faculty in humanities division when crafting research priorities; most of these are irrelevant. Share survey results and host hybrid listening session(s) or other accessible forum on research at a divisional level. Ensure that any strategies also enhance faculty governance, the lack of which is also a cause of demoralization.",Arts,,,,,,Seattle,,UWS - College of Arts & Sciences,,,Associate Professor,,Male,
601,4/23/24 8:41:07,4/23/24 8:48:15,anonymous,,,2,1 - Highest ,1 - Highest ,1 - Highest ,2,3,5 - Lowest,3,,,Replace student evaluations,Mentoring for teaching,Upgrade technology,,,2,3,1 - Highest,1 - Highest,2,2,1 - Highest,2,3,,Student Harrassment,Decrease pay gap,Salary structure,Salary compression,,,2,1 - Highest,2,2,3,2,4,1 - Highest,,More Opportunities for Feedback,Create organizational charts,Leadership training,Access to mental health,,,2,2,2,2,1 - Highest,1 - Highest,1 - Highest,,,Database of research staff,Update lab equipment,Create research methods series,,,Seattle,,UWS - School of Nursing,,,Lecturer,,Female,
386,4/16/24 9:09:40,4/16/24 9:26:03,anonymous,,,1 - Highest ,5 - Lowest,1 - Highest ,2,2,3,3,1 - Highest ,"As a part time lecturer in English, I have an additional priority: the department needs to begin following guidelines about making PTL positions renewable instead of treating all positions as ""temporary"" and making everyone reapply every year, with no possibility for longer contracts or renewable positions, advancement, timeline for knowing what classes we will teach, or other forms of job security. ",Job Security,Other,Realistic faculty workloads,Three-year teaching schedule,,,2,1 - Highest,5 - Lowest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,2,2,I think UW faculty should unionize and have that in addition to the faculty senate. ,Unionize,Transparent merit process,Salary structure,Leadership training ,,,2,2,3,3,2,4,2,2,"Allow lecturers (part-time and full-time) to know class assignments early in the year so that they can design their courses; allow lecturers to actually create courses, co-teach with faculty in other departments, get involved in programs, and generally participate in the university like we are part of it. ",Faculty Autonomy,Answer to number 12,Leadership training,Climate for discourse,,,1 - Highest,3,4,2,3,3,3,,Grants,Free grant support resources,Co-create funding methods,Access to indirect costs,,,Seattle,,UWS - College of Arts & Sciences,,,Lecturer,,Female,
350,4/16/24 4:51:15,4/16/24 5:00:38,anonymous,,,3,2,2,2,1 - Highest ,2,1 - Highest ,1 - Highest ,"Provide additional training and resources to ease grading: e.g., auto-grading notebooks with otter python package, or tips to design canvas quizzes. We are constantly asked to reduce TAing, which means we need to transform homework and grading  to lower the burden.",TA Support,Replace student evaluations,Realistic faculty workloads,Teaching resources,,,2,2,1 - Highest,2,1 - Highest,1 - Highest,1 - Highest,2,5 - Lowest,"My salary is a huge issue. I cannot pay for daycare and have to consider applying to other jobs and another career to support my family. My career is doing extremely well, so it would be sad to leave.
I do not recommend we create a new officer or a new office; that will add to the administrative ""bloat"" and reduce funds for us. I recommend unionization instead.",Reduce Admin Bloat,Transparent merit process,Salary compression,Leadership training ,,,1 - Highest,1 - Highest,1 - Highest,2,2,1 - Highest,1 - Highest,1 - Highest,,No Free Tuition for Children,Family tuition rates,Access to mental health,Upgrade office spaces,,,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,1 - Highest,,,Free grant support resources,Access to indirect costs,More research platforms,I would like ALL of the above.,,Seattle,,UWS - College of the Environment,,,Assistant Professor,,Female,mdenolle
61,4/15/24 15:45:48,4/15/24 15:54:52,anonymous,,,2,3,2,2,3,1 - Highest ,1 - Highest ,1 - Highest ,"Change incentive strategies so that faculty engaged in a lot of service - impacting the ability to obtain external funding due to time constraints, competitive retention offers and therefore salary increases - are not financially and professionally punished. ",Service,Course release,Realistic faculty workloads,,,,3,2,2,2,2,2,2,2,2,,Pay Gap,Salary structure,Decrease pay gap,Salary raises,,,3,2,2,2,2,2,1 - Highest,3,Provide a minimum of 2 weeks of UW paid vacation during the summer for faculty. ,Paid Vacation,Family tuition rates,,Leadership training,,,1 - Highest,1 - Highest,3,2,2,2,1 - Highest,,,Access to indirect costs,Free grant support resources,Database of research staff,,,Seattle,,UWS - College of Arts & Sciences,,,Professor,,Male,
